[Thu Sep 27 15:22:53.857271 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  30. Illuminate\\Foundation\\Application->make() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Route.php:226, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857276 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  31. Illuminate\\Foundation\\Application->make() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:733, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857281 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  32. Illuminate\\Foundation\\Application->resolve() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Container/Container.php:601, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857285 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  33. Illuminate\\Foundation\\Application->build() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Container/Container.php:646, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857290 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  34. ReflectionClass->__construct() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Container/Container.php:767, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857295 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  35. spl_autoload_call() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Container/Container.php:767, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857300 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  36. Composer\\Autoload\\ClassLoader->loadClass() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Container/Container.php:767, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857305 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  37. Composer\\Autoload\\includeFile() /var/www/html/bookshelf/vendor/composer/ClassLoader.php:322, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197400 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP Fatal error:  Constant expression contains invalid operations in /var/www/html/bookshelf/app/Http/Controllers/BookController.php on line 12, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:30:11.197448 2018] [php7:notice] [pid 6302] [client 127.0.0.1:49732] PHP Stack trace:, referer: http://dev.bookshelf.com/admin/accounts
